# CamiloSoporte Geofeed
# Organization: CamiloSoporte
# Contact: soporte@camilosoporte.com.co
# Last-Updated: 2026-03-11
# Format: RFC 8805
# Website: camilosoporte.com.co
# This file provides approximate geolocation data for IP prefixes owned and operated by CamiloSoporte.
#ip_prefix,alpha2code,region,city,postal_code
216.28.210.0/24,CO,CO-BOY,SOBOYA,154601
38.236.124.0/24,CO,CO-CUN,SUBACHOQUE,250220
45.194.69.0/24,CO,CO-PUT,ValleDelGuamuez,862020
45.191.232.0/24,CO,CO-CAL,La Dorada,175030
45.191.233.0/24,CO,CO-CAL,La Dorada,175030
2803:d4e0::/32,CO,CO-CAL,La Doarada,175030
45.229.192.0/24,CO,CO-CAL,Neira,171001
45.229.193.0/24,CO,CO-CAL,Neira,171001
2803:5d20::/32,CO,CO-CAL,Neira,171001
206.0.128.0/24,CO,CO-CAL,Neira,171001
206.0.129.0/24,CO,CO-CAL,Neira,171001
206.0.130.0/24,CO,CO-CAL,Neira,171001
206.0.131.0/24,CO,CO-CAL,Neira,171001
